"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value";"Value"
"CHEMBL94066";"";"None";"468.36";"0";"3.96";"23";"C=C(CN1CCOCC1)C(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1";"IC50";"'='";"458.0";"nM";"6.34";"";"";"UO_0000065";"13.53";"0.29";"2.38";"7.99";"0";"CHEMBL676070";"Inhibition of human epidermal growth factor receptor (HER-2) using enzyme assay";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1824";"Receptor protein-tyrosine kinase erbB-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1134561";"1";"Scientific Literature";"J Med Chem";"2001";"None";"";"";"";"0.458"
"CHEMBL1807446";"";"None";"425.49";"0";"4.21";"24";"Cc1ccc(C(=O)NC2CC2)cc1Nc1ncnn2cc(C(=O)c3ccccc3)c(C)c12";"IC50";"'>'";"25000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL1811577";"Inhibition of HER2";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1824";"Receptor protein-tyrosine kinase erbB-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1806462";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2011";"None";"";"";"";"25.0"
"CHEMBL180018";"";"None";"542.04";"2";"6.75";"25a (table 1)";"CCOc1cc2ncc(C#N)c(Nc3ccc(Oc4ccccc4)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C";"IC50";"'='";"184.0";"nM";"6.74";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL874202";"Inhibition of human epidermal growth factor receptor-2 (HER-2) autophosphorylation";"F";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1824";"Receptor protein-tyrosine kinase erbB-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1142663";"1";"Scientific Literature";"J Med Chem";"2005";"None";"";"";"";"0.184"
"CHEMBL14627";"";"None";"510.52";"2";"5.79";"14a";"O=C(NCCCCOc1ccc2ncnc(Nc3ccc(OCc4ccccc4)cc3)c2c1)C(F)(F)F";"IC50";"'='";"117.0";"nM";"6.93";"";"";"UO_0000065";"13.58";"0.26";"1.14";"8.12";"0";"CHEMBL682312";"Inhibitory activity against ERBB2 receptor kinase";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1824";"Receptor protein-tyrosine kinase erbB-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1146682";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2004";"None";"";"";"";"117.0"
"CHEMBL1828874";"";"None";"388.67";"0";"3.15";"29";"O=C(Cc1ccc(Cl)cc1)NS(=O)(=O)c1ccc(Br)cc1";"IC50";"'='";"13560.0";"nM";"4.87";"";"";"UO_0000065";"12.52";"0.32";"1.72";"7.70";"0";"CHEMBL1831701";"Inhibition of human recombinant (His)6-tagged HER-2 autophosphorylation pre-incubated for 10 mins by DELFIA/Time-resolved fluorimetry";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1824";"Receptor protein-tyrosine kinase erbB-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1828525";"1";"Scientific Literature";"Bioorg Med Chem";"2011";"None";"";"";"";"13.56"
"CHEMBL1645472";"";"None";"340.41";"0";"2.54";"8h";"NC1CCN(Cc2ccn3ncnc(Nc4cccc(F)c4)c23)CC1";"IC50";"'='";"6.0";"nM";"8.22";"";"";"UO_0000065";"24.15";"0.45";"5.68";"11.50";"0";"CHEMBL1647392";"Inhibition of HER2";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1824";"Receptor protein-tyrosine kinase erbB-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1641446";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2011";"None";"";"";"";"0.006"
"CHEMBL1645465";"";"None";"363.42";"0";"1.96";"7b";"C#Cc1cccc(Nc2ncnn3ccc(COC[C@@H]4CNCCO4)c23)c1";"IC50";"'='";"20.0";"nM";"7.70";"";"";"UO_0000065";"21.18";"0.39";"5.74";"10.59";"0";"CHEMBL1647392";"Inhibition of HER2";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1824";"Receptor protein-tyrosine kinase erbB-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1641446";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2011";"None";"";"";"";"0.02"
"CHEMBL1645477";"";"None";"386.89";"0";"3.06";"8m";"COc1ccc(Nc2ncnn3ccc(CN4CCC(N)CC4)c23)cc1Cl";"IC50";"'='";"70.0";"nM";"7.16";"";"";"UO_0000065";"18.49";"0.36";"4.09";"8.86";"0";"CHEMBL1647392";"Inhibition of HER2";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1824";"Receptor protein-tyrosine kinase erbB-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1641446";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2011";"None";"";"";"";"0.07"
"CHEMBL93262";"";"None";"503.56";"1";"3.50";"14a";"COc1cc(Nc2c(C#N)cnc3cc4[nH]c(NCCN5CCOCC5)nc4cc23)cc(OC)c1OC";"IC50";"'>'";"1000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL673954";"Inhibition of ERBB2 receptor kinase";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1824";"Receptor protein-tyrosine kinase erbB-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1135352";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2002";"None";"";"";"";"1.0"
"CHEMBL1079742";"ERLOTINIB HYDROCHLORIDE";"4.0";"429.90";"0";"3.41";"Tarceva";"C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1.Cl";"IC50";"'='";"1520.0";"nM";"5.82";"";"";"UO_0000065";"14.79";"0.27";"2.41";"7.79";"0";"CHEMBL1116651";"Inhibition of HER2 by HTRF assay";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1824";"Receptor protein-tyrosine kinase erbB-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1154343";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2009";"None";"";"";"";"1.52"
